,record_id,user_id,role,education_level,subject_area,ai_tool,ai_use_purpose,ai_use_frequency_per_week,session_count,avg_session_duration_min,tasks_completed,hints_requested,text_feedback,sentiment_label,sentiment_polarity,subjectivity,emotion_primary,pre_test_score,post_test_score,improvement,adaptive_difficulty_start,adaptive_difficulty_end,recommended_resources_count,perceived_usefulness,perceived_ease_of_use,trust_score,adoption_intention,satisfaction_score,ethical_concern_privacy,ethical_concern_plagiarism,dropout_flag,timestamp
208,209,S674839,student,professional-development,Sociology,AI Tutor,coding help,1,26,14,38,9,"I tried the AI Tutor for coding help in Sociology at the professional-development level; it kept me engaged with key goals moderately. Feeling optimism, study sessions were more focused and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is positive, considerably optimistic. (note 727003)",positive,0.718,0.539,optimism,81,96,15,2,4,3,4,4,4,4,4,2,3,0,8/11/2024 16:55
209,210,S645797,student,K-12,Biology,LLM Assistant,exam revision,3,13,25,65,9,"I briefly used the LLM Assistant for exam revision in Biology at the K-12 level; it improved my confidence with key goals noticeably.  Feeling anticipation, study sessions were more focused and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note 32f5da)",positive,0.783,0.58,anticipation,52,61,9,2,4,9,5,4,2,3,4,3,1,0,10/6/2023 10:33
210,211,S435152,student,K-12,Economics,Explainability Bot,summarization,2,26,14,53,17,"Recently I explored the Explainability Bot for summarization in Economics at the K-12 level; it streamlined my work on key goals .  Feeling surprise, I observed improved strategies and I cross-checked outputs to avoid plagiarism. As a result, my view of AI adoption in education is positive, noticeably optimistic. (note 8b0f48)",positive,0.538,0.819,surprise,66,90,24,2,2,8,4,4,2,4,3,4,3,0,11/19/2023 1:30
211,212,S852144,student,graduate,Business,Explainability Bot,summarization,2,18,18,49,4,"I experimented with the Explainability Bot for summarization in Business at the graduate level; it streamlined my work on key goals considerably. – Feeling joy, students made fewer mistakes and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note 438f7d)",positive,0.231,0.813,joy,92,100,8,3,4,8,5,4,5,5,4,3,2,0,12/29/2023 20:33
212,213,S846364,student,K-12,Biology,AI Writing Helper,writing feedback,2,21,19,79,4,"I evaluated the AI Writing Helper for writing feedback in Biology at the K-12 level; it gave me better feedback about key goals moderately. — Feeling anxiety, I worried about accuracy and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is negative,  optimistic. (note 1857ff)",negative,-0.369,0.678,anxiety,57,54,-3,2,3,6,3,1,3,3,2,3,5,0,12/16/2023 13:39
213,214,S533732,student,undergraduate,Law,Explainability Bot,writing feedback,2,38,14,53,6,"In this course I tested the Explainability Bot for writing feedback in Law at the undergraduate level; it guided my practice for key goals moderately.  Feeling joy, we could tackle harder problems and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note 69a8dc)",positive,0.893,0.433,joy,67,68,1,3,3,6,4,4,4,4,4,3,2,1,8/10/2024 22:47
214,215,S812550,student,undergraduate,Art and Design,AI Writing Helper,writing feedback,2,23,15,32,4,"Recently I explored the AI Writing Helper for writing feedback in Art and Design at the undergraduate level; it reduced my effort on key goals considerably.  Feeling trust, participation increased and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note b889cc)",positive,0.575,0.849,trust,71,87,16,2,1,2,4,5,5,4,4,2,4,0,1/26/2024 9:48
215,216,S334741,student,K-12,Chemistry,Concept Mapper,summarization,3,19,23,70,0,"Recently I explored the Concept Mapper for summarization in Chemistry at the K-12 level; it gave me better feedback about key goals significantly. — Feeling surprise, participation increased and I cross-checked outputs to avoid plagiarism. In practice, this changed how I adapt my study plan and assessments. (note b541da)",positive,0.254,0.819,surprise,57,75,18,3,2,7,5,4,3,4,5,3,2,0,1/4/2023 15:37
216,217,S133832,student,K-12,Art and Design,Curriculum Planner,summarization,5,27,9,50,0,"In this course I tested the Curriculum Planner for summarization in Art and Design at the K-12 level; it kept me engaged with key goals considerably.Feeling optimism, students made fewer mistakes and I prefer clearer guidance on ethical use. In practice, this changed how I adapt my study plan and assessments. (note 2a6464)",positive,0.672,0.57,optimism,56,67,11,4,3,8,5,4,3,5,4,4,4,0,8/5/2024 7:51
217,218,S281443,student,K-12,Business,Explainability Bot,coding help,1,23,15,49,9,"I evaluated the Explainability Bot for coding help in Business at the K-12 level; it improved my confidence with key goals considerably.  Feeling optimism, I finished tasks faster than usual and I prefer clearer guidance on ethical use. In practice, this changed how I adapt my study plan and assessments. (note cafb86)",positive,0.743,0.692,optimism,64,71,7,4,4,7,3,3,3,3,3,3,3,0,6/8/2024 20:05
218,219,S601090,student,undergraduate,Physics,Curriculum Planner,exam revision,3,19,20,91,9,"I regularly use the Curriculum Planner for exam revision in Physics at the undergraduate level; it helped me grasp key goals .  Feeling optimism, I observed improved strategies and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is positive,  optimistic. (note 100f32)",positive,0.662,0.456,optimism,61,89,28,2,2,9,4,4,5,4,3,3,3,0,7/18/2023 2:36
219,220,S892246,student,undergraduate,Biology,LLM Assistant,exam revision,1,23,24,61,11,"I regularly use the LLM Assistant for exam revision in Biology at the undergraduate level; it sped up my study of key goals considerably.  Feeling neutral, I noticed little difference and I remain cautious about fairness and transparency. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note 70a3eb)",neutral,-0.029,0.409,neutral,65,67,2,2,3,7,1,2,3,4,2,3,2,0,7/4/2024 9:00
220,221,S146390,student,undergraduate,Education,Quiz Generator,coding help,1,27,18,48,3,"I briefly used the Quiz Generator for coding help in Education at the undergraduate level; it made it easier to understand key goals noticeably. — Feeling sadness, I worried about accuracy and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is negative, moderately optimistic. (note 2edfbb)",negative,-0.37,0.654,sadness,67,69,2,2,3,6,3,3,4,4,3,3,5,0,1/8/2024 16:05
221,222,S632610,student,K-12,Chemistry,Explainability Bot,brainstorming,2,36,9,49,14,"Recently I explored the Explainability Bot for brainstorming in Chemistry at the K-12 level; it reduced my effort on key goals significantly. — Feeling fear, it added extra steps and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is negative, significantly optimistic. (note 95c1ab)",negative,-0.417,0.925,fear,66,72,6,3,2,9,2,3,5,2,3,3,5,0,3/23/2024 13:06
222,223,S128944,student,K-12,Art and Design,AI Tutor,language translation,1,21,14,40,2,"I adopted the AI Tutor for language translation in Art and Design at the K-12 level; it kept me engaged with key goals . Feeling neutral, I had to double-check suggestions and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is neutral, moderately optimistic. (note 224d11)",neutral,0.078,0.467,neutral,62,65,3,2,2,4,3,3,2,3,3,4,4,1,11/28/2023 11:33
223,224,S471815,student,K-12,Computer Science,AI Tutor,exam revision,3,32,14,79,8,"I adopted the AI Tutor for exam revision in Computer Science at the K-12 level; it helped me grasp key goals noticeably. Feeling fear, the advice felt generic and I remain cautious about fairness and transparency. In practice, this changed how I adapt my study plan and assessments. (note c287ac)",negative,-0.62,0.757,fear,59,63,4,1,5,7,1,2,2,2,3,5,5,0,3/26/2024 2:18
224,225,S592375,student,undergraduate,Economics,Concept Mapper,writing feedback,3,19,24,77,0,"I evaluated the Concept Mapper for writing feedback in Economics at the undergraduate level; it guided my practice for key goals moderately.Feeling anticipation, students made fewer mistakes and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is positive, significantly optimistic. (note ab3566)",positive,0.649,0.431,anticipation,58,68,10,1,4,8,4,3,2,3,3,2,1,0,8/23/2023 0:10
225,226,S151045,student,K-12,Law,Code Copilot,brainstorming,1,23,19,46,7,"Recently I explored the Code Copilot for brainstorming in Law at the K-12 level; it clarified key goals considerably.Feeling sadness, it distracted from core skills and I remain cautious about fairness and transparency. This shaped my attitude toward AI tools in learning/teaching in a negative way. (note cf551a)",negative,-0.753,0.569,sadness,64,65,1,3,2,7,1,4,3,3,3,4,3,1,4/17/2023 3:17
226,227,S500158,student,graduate,Mathematics,AI Tutor,brainstorming,3,35,3,86,4,"I tried the AI Tutor for brainstorming in Mathematics at the graduate level; it kept me engaged with key goals noticeably.Feeling neutral, the pace felt unchanged and I prefer clearer guidance on ethical use. In practice, this changed how I adapt my study plan and assessments. (note a770c6)",neutral,0.0,0.51,neutral,72,73,1,2,4,6,5,3,4,3,3,3,4,0,7/4/2024 2:38
227,228,S318663,student,K-12,Art and Design,Speech Coach,language translation,4,26,10,45,2,"I regularly use the Speech Coach for language translation in Art and Design at the K-12 level; it sped up my study of key goals .Feeling trust, I felt more motivated and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is positive, moderately optimistic. (note 610305)",positive,0.704,0.892,trust,72,84,12,1,2,9,5,3,4,4,4,3,4,0,3/30/2023 18:38
228,229,S417428,student,K-12,Biology,AI Writing Helper,language translation,1,32,17,67,9,"I adopted the AI Writing Helper for language translation in Biology at the K-12 level; it improved my confidence with key goals noticeably. — Feeling anticipation, the pace felt unchanged and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note f25e2c)",neutral,0.054,0.203,anticipation,69,74,5,2,3,8,2,4,4,4,3,2,4,0,4/27/2023 23:18
229,230,S895452,student,undergraduate,Engineering,AI Tutor,brainstorming,3,35,12,51,5,"I adopted the AI Tutor for brainstorming in Engineering at the undergraduate level; it streamlined my work on key goals .  Feeling anxiety, the advice felt generic and I prefer clearer guidance on ethical use. This shaped my attitude toward AI tools in learning/teaching in a negative way. (note 433163)",negative,-0.447,0.561,anxiety,62,54,-8,2,2,5,4,2,2,3,2,5,4,0,2/26/2023 6:08
230,231,S129730,student,K-12,Computer Science,AI Writing Helper,language translation,2,21,18,52,8,"In this course I tested the AI Writing Helper for language translation in Computer Science at the K-12 level; it helped me grasp key goals significantly. — Feeling anticipation, we could tackle harder problems and I cross-checked outputs to avoid plagiarism. As a result, my view of AI adoption in education is positive, slightly optimistic. (note e511a0)",positive,0.772,0.818,anticipation,57,72,15,1,2,6,3,4,4,3,2,4,2,0,11/30/2023 9:21
231,232,S955709,student,K-12,Engineering,Code Copilot,quiz practice,2,21,27,52,0,"I have been using the Code Copilot for quiz practice in Engineering at the K-12 level; it kept me engaged with key goals moderately.Feeling neutral, it was acceptable overall and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note c76eab)",neutral,-0.079,0.613,neutral,72,72,0,3,2,10,4,3,4,5,3,4,4,0,12/12/2023 12:31
232,233,S664560,student,K-12,Law,Assessment Assistant,note organization,3,17,12,80,8,"I evaluated the Assessment Assistant for note organization in Law at the K-12 level; it made it easier to understand key goals noticeably. Feeling neutral, the impact was modest and I cross-checked outputs to avoid plagiarism. In practice, this changed how I adapt my study plan and assessments. (note e2e569)",neutral,0.03,0.309,neutral,58,74,16,3,4,4,3,5,1,2,2,4,4,0,1/14/2023 8:52
233,234,S882264,student,K-12,Physics,Code Copilot,quiz practice,3,27,18,77,22,"I have been using the Code Copilot for quiz practice in Physics at the K-12 level; it guided my practice for key goals slightly.Feeling joy, I felt more motivated and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, significantly optimistic. (note d36af0)",positive,0.269,0.833,joy,72,91,19,2,4,7,4,4,3,4,3,1,4,0,8/28/2024 4:50
234,235,S177016,student,K-12,English,Speech Coach,summarization,3,32,21,30,8,"I evaluated the Speech Coach for summarization in English at the K-12 level; it reduced my effort on key goals noticeably. – Feeling anticipation, I noticed little difference and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is neutral,  optimistic. (note 2d852d)",neutral,0.084,0.425,anticipation,53,54,1,2,3,7,3,3,3,4,5,4,3,0,9/19/2023 10:20
235,236,S972715,student,K-12,Physics,Code Copilot,summarization,3,32,24,78,12,"I have been using the Code Copilot for summarization in Physics at the K-12 level; it clarified key goals slightly. Feeling anger, I relied on it too much and I cross-checked outputs to avoid plagiarism. This shaped my attitude toward AI tools in learning/teaching in a negative way. (note a95c23)",negative,-0.447,0.625,anger,71,71,0,1,3,8,2,3,2,2,4,4,5,1,7/14/2023 2:28
236,237,S604775,student,K-12,Mathematics,Assessment Assistant,concept explanation,2,21,18,99,7,"I experimented with the Assessment Assistant for concept explanation in Mathematics at the K-12 level; it kept me engaged with key goals moderately.  Feeling neutral, I noticed little difference and I remain cautious about fairness and transparency. In practice, this changed how I adapt my study plan and assessments. (note d61353)",neutral,-0.088,0.348,neutral,73,66,-7,3,1,6,4,3,4,3,3,3,4,0,5/14/2023 12:07
237,238,S274305,student,undergraduate,Computer Science,Code Copilot,writing feedback,3,25,12,25,8,"I experimented with the Code Copilot for writing feedback in Computer Science at the undergraduate level; it improved my confidence with key goals significantly. – Feeling anticipation, I observed improved strategies and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is positive, significantly optimistic. (note d490a5)",positive,0.899,0.415,anticipation,63,76,13,3,4,4,4,4,4,2,3,3,3,0,8/13/2023 13:06
238,239,S346219,student,K-12,Economics,Curriculum Planner,language translation,2,16,26,55,6,"Recently I explored the Curriculum Planner for language translation in Economics at the K-12 level; it improved my confidence with key goals significantly.Feeling anticipation, we could tackle harder problems and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, significantly optimistic. (note e8840b)",positive,0.616,0.646,anticipation,73,89,16,2,2,5,5,4,4,2,4,2,2,0,5/11/2024 16:22
239,240,S565481,student,undergraduate,Law,Quiz Generator,note organization,0,22,27,60,5,"I tried the Quiz Generator for note organization in Law at the undergraduate level; it reduced my effort on key goals considerably.  Feeling surprise, I finished tasks faster than usual and I remain cautious about fairness and transparency. In practice, this changed how I adapt my study plan and assessments. (note 8ebc4a)",positive,0.367,0.772,surprise,55,58,3,2,2,5,5,5,4,2,3,4,2,0,1/21/2024 3:45
240,241,S187115,student,undergraduate,Economics,Curriculum Planner,writing feedback,4,25,23,47,3,"I have been using the Curriculum Planner for writing feedback in Economics at the undergraduate level; it gave me better feedback about key goals moderately. — Feeling anticipation, I observed improved strategies and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is positive, considerably optimistic. (note 5fbf76)",positive,0.673,0.449,anticipation,51,71,20,2,2,9,3,4,4,4,4,2,1,0,1/5/2024 2:19
241,242,S774825,student,undergraduate,Education,LLM Assistant,note organization,3,25,16,64,10,"I tried the LLM Assistant for note organization in Education at the undergraduate level; it sped up my study of key goals . — Feeling anticipation, I noticed little difference and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is neutral, moderately optimistic. (note 05c0aa)",neutral,0.033,0.27,anticipation,68,82,14,4,3,5,2,4,1,5,4,3,4,0,2/1/2024 10:59
242,243,S858931,student,K-12,History,LLM Assistant,concept explanation,1,17,22,36,8,"I evaluated the LLM Assistant for concept explanation in History at the K-12 level; it helped me grasp key goals slightly.Feeling trust, my class outcomes improved and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is positive, noticeably optimistic. (note 8d884c)",positive,0.829,0.552,trust,63,84,21,2,4,9,3,3,2,4,1,2,1,0,7/24/2023 2:15
243,244,S636506,student,graduate,Education,Curriculum Planner,proofreading,2,30,12,45,5,"In this course I tested the Curriculum Planner for proofreading in Education at the graduate level; it sped up my study of key goals moderately.Feeling neutral, it was acceptable overall and I followed our policy on responsible AI use. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note 3aca68)",neutral,-0.062,0.435,neutral,69,66,-3,2,2,3,2,4,4,3,2,3,2,0,4/12/2024 9:14
244,245,S907435,student,K-12,Art and Design,LLM Assistant,writing feedback,0,22,14,32,2,"For my class I relied on the LLM Assistant for writing feedback in Art and Design at the K-12 level; it improved my confidence with key goals slightly. Feeling anticipation, the pace felt unchanged and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is neutral, noticeably optimistic. (note 7d38bc)",neutral,0.021,0.438,anticipation,70,72,2,1,5,1,3,2,4,3,4,3,3,0,1/31/2024 4:41
245,246,S241832,student,undergraduate,Law,LLM Assistant,writing feedback,4,25,16,51,4,"In this course I tested the LLM Assistant for writing feedback in Law at the undergraduate level; it clarified key goals significantly.Feeling trust, participation increased and I followed our policy on responsible AI use. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note a9e2e5)",positive,0.26,0.81,trust,69,90,21,4,3,8,5,3,5,4,2,3,2,0,9/17/2023 19:27
246,247,S403708,student,K-12,Engineering,AI Writing Helper,writing feedback,3,30,15,59,13,"I have been using the AI Writing Helper for writing feedback in Engineering at the K-12 level; it gave me better feedback about key goals .  Feeling surprise, students made fewer mistakes and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note 1b7bcd)",positive,0.483,0.55,surprise,45,45,0,2,2,12,5,4,4,2,3,2,3,0,6/9/2024 19:54
247,248,S685430,student,K-12,Computer Science,Concept Mapper,concept explanation,2,26,21,41,5,"I regularly use the Concept Mapper for concept explanation in Computer Science at the K-12 level; it streamlined my work on key goals . — Feeling neutral, I noticed little difference and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is neutral,  optimistic. (note 893205)",neutral,0.072,0.678,neutral,51,63,12,1,3,9,1,3,4,2,2,3,4,0,2/26/2024 12:30
248,249,S322648,student,undergraduate,Engineering,LLM Assistant,language translation,3,20,9,26,8,"In this course I tested the LLM Assistant for language translation in Engineering at the undergraduate level; it kept me engaged with key goals moderately.  Feeling trust, we could tackle harder problems and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive,  optimistic. (note 64e311)",positive,0.549,0.562,trust,34,41,7,3,1,5,4,4,2,4,4,3,1,0,3/16/2024 3:02
249,250,S477150,student,K-12,Economics,Quiz Generator,writing feedback,3,19,16,38,15,"I evaluated the Quiz Generator for writing feedback in Economics at the K-12 level; it made it easier to understand key goals noticeably. — Feeling fear, the advice felt generic and I cross-checked outputs to avoid plagiarism. In practice, this changed how I adapt my study plan and assessments. (note 7900b6)",negative,-0.291,0.551,fear,65,79,14,1,2,11,2,3,4,2,2,4,5,0,2/20/2024 21:01
250,251,S838654,student,undergraduate,Chemistry,AI Writing Helper,language translation,3,34,15,45,3,"In this course I tested the AI Writing Helper for language translation in Chemistry at the undergraduate level; it improved my confidence with key goals moderately.  Feeling neutral, I noticed little difference and I cross-checked outputs to avoid plagiarism. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note 40e26d)",neutral,-0.021,0.259,neutral,60,61,1,2,2,4,3,4,3,2,4,4,3,0,10/27/2023 18:46
251,252,S167875,student,undergraduate,Art and Design,Concept Mapper,brainstorming,2,12,8,53,13,"I tried the Concept Mapper for brainstorming in Art and Design at the undergraduate level; it clarified key goals significantly. Feeling joy, I felt more motivated and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is positive, moderately optimistic. (note 783fb5)",positive,0.647,0.606,joy,90,100,10,2,3,2,4,3,4,5,5,3,3,0,1/30/2023 2:23
252,253,S845641,student,undergraduate,History,LLM Assistant,brainstorming,0,20,26,75,10,"I experimented with the LLM Assistant for brainstorming in History at the undergraduate level; it streamlined my work on key goals slightly.Feeling joy, we could tackle harder problems and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, slightly optimistic. (note 64f92e)",positive,0.927,0.474,joy,70,91,21,2,3,15,3,4,3,5,4,2,2,0,6/18/2024 11:54
253,254,S378456,student,K-12,Psychology,LLM Assistant,concept explanation,3,18,8,52,6,"Recently I explored the LLM Assistant for concept explanation in Psychology at the K-12 level; it reduced my effort on key goals .  Feeling optimism, we could tackle harder problems and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is positive, significantly optimistic. (note d1886f)",positive,0.456,0.646,optimism,72,81,9,1,3,7,5,4,2,4,4,2,3,0,7/27/2024 1:44
254,255,S940951,student,undergraduate,Computer Science,Concept Mapper,writing feedback,2,33,15,79,3,"I briefly used the Concept Mapper for writing feedback in Computer Science at the undergraduate level; it guided my practice for key goals significantly. Feeling anticipation, we could tackle harder problems and I remain cautious about fairness and transparency. In practice, this changed how I adapt my study plan and assessments. (note b9edf0)",positive,0.803,0.796,anticipation,31,36,5,5,2,6,4,3,4,4,5,4,3,0,4/6/2023 22:38
255,256,S764755,student,undergraduate,Engineering,Explainability Bot,note organization,3,29,11,74,5,"I regularly use the Explainability Bot for note organization in Engineering at the undergraduate level; it streamlined my work on key goals considerably. Feeling surprise, students made fewer mistakes and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, moderately optimistic. (note 02d57f)",positive,0.449,0.429,surprise,76,88,12,3,4,8,4,4,4,4,4,2,2,0,1/25/2023 7:32
256,257,S794698,student,graduate,English,AI Writing Helper,brainstorming,3,22,18,41,0,"I experimented with the AI Writing Helper for brainstorming in English at the graduate level; it kept me engaged with key goals considerably.  Feeling optimism, participation increased and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is positive, slightly optimistic. (note 2726e0)",positive,0.82,0.758,optimism,76,93,17,2,4,7,3,5,2,4,5,2,4,0,11/14/2023 13:32
257,258,S638697,student,K-12,English,Code Copilot,language translation,2,34,16,67,7,"I briefly used the Code Copilot for language translation in English at the K-12 level; it kept me engaged with key goals significantly. — Feeling optimism, participation increased and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is positive,  optimistic. (note 4318d6)",positive,0.29,0.653,optimism,98,100,2,3,3,7,4,4,5,5,4,2,3,0,1/7/2024 23:24
258,259,S607015,student,K-12,Engineering,Speech Coach,proofreading,1,25,5,43,7,"I experimented with the Speech Coach for proofreading in Engineering at the K-12 level; it guided my practice for key goals noticeably.  Feeling anticipation, I finished tasks faster than usual and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note 469251)",positive,0.904,0.609,anticipation,46,51,5,3,3,10,5,4,5,4,5,1,3,0,7/1/2024 15:15
259,260,S999893,student,professional-development,Law,Speech Coach,writing feedback,4,32,18,50,11,"I regularly use the Speech Coach for writing feedback in Law at the professional-development level; it made it easier to understand key goals .Feeling surprise, my class outcomes improved and I followed our policy on responsible AI use. In practice, this changed how I adapt my study plan and assessments. (note 52fe3c)",positive,0.226,0.729,surprise,63,68,5,3,2,7,3,2,4,5,2,2,3,0,12/15/2023 14:55
260,261,S905228,student,undergraduate,Business,AI Tutor,summarization,3,26,17,38,12,"I experimented with the AI Tutor for summarization in Business at the undergraduate level; it sped up my study of key goals noticeably.Feeling surprise, I felt more motivated and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is positive, considerably optimistic. (note 35a6a9)",positive,0.653,0.603,surprise,79,93,14,1,4,6,5,5,5,4,5,3,2,0,2/1/2024 14:32
261,262,S876632,student,graduate,Education,Assessment Assistant,language translation,3,13,8,59,13,"In this course I tested the Assessment Assistant for language translation in Education at the graduate level; it gave me better feedback about key goals slightly.  Feeling trust, I felt more motivated and I cross-checked outputs to avoid plagiarism. As a result, my view of AI adoption in education is positive, moderately optimistic. (note 9fe4b3)",positive,0.653,0.544,trust,52,71,19,2,5,6,5,4,4,4,2,3,2,0,7/26/2023 4:25
262,263,S953693,student,professional-development,English,Concept Mapper,quiz practice,3,23,3,9,5,"I adopted the Concept Mapper for quiz practice in English at the professional-development level; it sped up my study of key goals considerably.  Feeling optimism, I finished tasks faster than usual and I prefer clearer guidance on ethical use. As a result, my view of AI adoption in education is positive, significantly optimistic. (note e20eb3)",positive,0.712,0.73,optimism,48,65,17,1,3,6,5,4,4,3,4,3,3,0,1/1/2023 7:54
263,264,S433226,student,graduate,Biology,Quiz Generator,concept explanation,3,18,16,63,6,"I evaluated the Quiz Generator for concept explanation in Biology at the graduate level; it guided my practice for key goals .  Feeling optimism, students made fewer mistakes and I still think about privacy and academic integrity. As a result, my view of AI adoption in education is positive, moderately optimistic. (note a01524)",positive,0.496,0.542,optimism,83,98,15,1,2,6,3,4,3,5,4,3,3,0,1/13/2023 23:04
264,265,S787794,student,K-12,Physics,Explainability Bot,writing feedback,0,26,16,68,10,"Recently I explored the Explainability Bot for writing feedback in Physics at the K-12 level; it kept me engaged with key goals noticeably. – Feeling optimism, I finished tasks faster than usual and I cross-checked outputs to avoid plagiarism. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note a2e5d5)",positive,0.703,0.427,optimism,73,92,19,1,2,10,5,3,5,5,3,2,3,0,6/26/2023 10:54
265,266,S978036,student,K-12,Chemistry,Quiz Generator,proofreading,2,38,21,72,5,"I have been using the Quiz Generator for proofreading in Chemistry at the K-12 level; it guided my practice for key goals . – Feeling joy, I felt more motivated and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, significantly optimistic. (note 4f1a7d)",positive,0.445,0.413,joy,48,56,8,4,5,4,4,2,5,3,5,4,2,0,8/21/2023 12:37
266,267,S426255,student,graduate,Physics,Explainability Bot,exam revision,1,31,26,46,3,"I adopted the Explainability Bot for exam revision in Physics at the graduate level; it guided my practice for key goals noticeably. Feeling optimism, I felt more motivated and I followed our policy on responsible AI use. As a result, my view of AI adoption in education is positive, noticeably optimistic. (note 6aa03b)",positive,0.75,0.556,optimism,70,89,19,1,2,10,4,3,4,4,5,3,3,0,8/10/2024 3:36
267,268,S479964,student,undergraduate,Law,AI Tutor,exam revision,0,29,21,59,8,"I regularly use the AI Tutor for exam revision in Law at the undergraduate level; it streamlined my work on key goals moderately.Feeling surprise, study sessions were more focused and I still think about privacy and academic integrity. In practice, this changed how I adapt my study plan and assessments. (note 3a2bee)",positive,0.627,0.412,surprise,67,84,17,2,2,9,4,4,4,4,4,2,4,0,4/5/2023 6:16
268,269,S873387,student,K-12,Physics,AI Tutor,coding help,1,35,10,43,6,"I regularly use the AI Tutor for coding help in Physics at the K-12 level; it helped me grasp key goals noticeably. Feeling optimism, my class outcomes improved and I cross-checked outputs to avoid plagiarism. As a result, my view of AI adoption in education is positive, considerably optimistic. (note 43b85a)",positive,0.944,0.658,optimism,78,91,13,2,2,9,4,4,4,4,5,3,4,0,5/18/2024 18:39
269,270,S780800,student,undergraduate,Engineering,AI Tutor,exam revision,3,16,22,56,7,"I briefly used the AI Tutor for exam revision in Engineering at the undergraduate level; it clarified key goals moderately.Feeling joy, students made fewer mistakes and I remain cautious about fairness and transparency. This shaped my attitude toward AI tools in learning/teaching in a positive way. (note f4c3cb)",positive,0.356,0.412,joy,22,28,6,2,2,7,5,4,3,4,4,2,1,0,8/9/2023 17:26
270,271,S731360,student,undergraduate,Psychology,Explainability Bot,proofreading,1,31,16,23,7,"In this course I tested the Explainability Bot for proofreading in Psychology at the undergraduate level; it kept me engaged with key goals considerably. — Feeling surprise, participation increased and I remain cautious about fairness and transparency. As a result, my view of AI adoption in education is positive, moderately optimistic. (note d53b27)",positive,0.671,0.427,surprise,66,81,15,3,3,4,3,3,5,3,5,1,2,0,12/15/2023 5:38
271,272,S311809,student,professional-development,Education,AI Tutor,language translation,3,20,16,34,8,"I tried the AI Tutor for language translation in Education at the professional-development level; it gave me better feedback about key goals considerably. Feeling neutral, it was acceptable overall and I still think about privacy and academic integrity. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note 34d0c6)",neutral,-0.045,0.619,neutral,77,75,-2,3,2,9,1,4,2,3,3,2,2,0,2/23/2023 16:40
272,273,S279932,student,undergraduate,Business,Quiz Generator,coding help,2,26,22,49,10,"I evaluated the Quiz Generator for coding help in Business at the undergraduate level; it streamlined my work on key goals .Feeling neutral, results were mixed and I remain cautious about fairness and transparency. This shaped my attitude toward AI tools in learning/teaching in a neutral way. (note 01e038)",neutral,0.099,0.314,neutral,67,79,12,1,3,6,3,3,4,3,3,3,3,0,1/1/2024 21:06
273,274,S718378,student,K-12,Business,Explainability Bot,writing feedback,2,33,22,78,5,"I regularly use the Explainability Bot for writing feedback in Business at the K-12 level; it improved my confidence with key goals considerably. Feeling anticipation, I observed improved strategies and I cross-checked outputs to avoid plagiarism. In practice, this changed how I adapt my study plan and assessments. (note 8049ea)",positive,0.777,0.696,anticipation,62,88,26,3,1,9,4,4,4,3,3,2,2,0,10/11/2023 16:05
